"plant_id","plant_name","operator_name","operator_id","plant_state","aer_fuel_type_code","net_gen_kwh"
"460","Pueblo","Black Hills Colorado Electric, LLC","56146","CO","DFO",-0.12600000000000000000
"460","Pueblo","Black Hills Colorado Electric, LLC","56146","CO","NG",0E-20
"464","Alamosa","Public Service Co of Colorado","15466","CO","DFO",0.37900000000000000000
"464","Alamosa","Public Service Co of Colorado","15466","CO","NG",12.6390000000000000
"467","Cabin Creek","Public Service Co of Colorado","15466","CO","HPS",-61.9440000000000000
"469","Cherokee","Public Service Co of Colorado","15466","CO","NG",1149.1270000000000000
"469","Cherokee","Public Service Co of Colorado","15466","CO","NG",1796.2890000000000000
"469","Cherokee","Public Service Co of Colorado","15466","CO","COL",0E-20
"469","Cherokee","Public Service Co of Colorado","15466","CO","NG",883.8080000000000000
"470","Comanche (CO)","Public Service Co of Colorado","15466","CO","NG",169.2800000000000000
"470","Comanche (CO)","Public Service Co of Colorado","15466","CO","COL",3980.6340000000000000
"471","Fruita","Public Service Co of Colorado","15466","CO","DFO",0.01300000000000000000
"471","Fruita","Public Service Co of Colorado","15466","CO","NG",1.1180000000000000
"472","Georgetown Hydro","Public Service Co of Colorado","15466","CO","HYC",2.2760000000000000
"474","Salida","Public Service Co of Colorado","15466","CO","HYC",1.7070000000000000
"476","Shoshone (CO)","Public Service Co of Colorado","15466","CO","HYC",20.2560000000000000
"477","Valmont","Public Service Co of Colorado","15466","CO","NG",3.7910000000000000
"489","Upper Dawson","Turlock Irrigation District","19281","CA","HYC",8.2900000000000000
"508","Lamar Plant","City of Lamar - (CO)","10633","CO","DFO",0E-20
"508","Lamar Plant","City of Lamar - (CO)","10633","CO","NG",0E-20
"508","Lamar Plant","City of Lamar - (CO)","10633","CO","COL",0E-20
"508","Lamar Plant","City of Lamar - (CO)","10633","CO","WND",13.2320000000000000
"525","Hayden","Public Service Co of Colorado","15466","CO","COL",2028.8910000000000000
"525","Hayden","Public Service Co of Colorado","15466","CO","DFO",1.5640000000000000
"525","Hayden","Public Service Co of Colorado","15466","CO","NG",1.3600000000000000
