City,State,Wind Speed,Date
ROSWELL,NM,7.4,1/1/2022
ALBANY,NY,8.7,1/1/2022
BINGHAMTON,NY,9.8,1/1/2022
BUFFALO,NY,12.4,1/1/2022
ISLIP,NY,10,1/1/2022
NEW YORK JFK AP,NY,12.6,1/1/2022
ROCHESTER,NY,10.6,1/1/2022
SYRACUSE,NY,9.7,1/1/2022
ASHEVILLE,NC,8.5,1/1/2022
CAPE HATTERAS,NC,10,1/1/2022
CHARLOTTE,NC,6.6,1/1/2022
RALEIGH,NC,6.8,1/1/2022
WILMINGTON,NC,8,1/1/2022
BISMARCK,ND,9.2,1/1/2022
FARGO,ND,11.3,1/1/2022
GRAND FORKS,ND,11,1/1/2022
WILLISTON,ND,8.8,1/1/2022
AKRON,OH,11,1/1/2022
CINCINNATI,OH,9.7,1/1/2022
CLEVELAND,OH,11.4,1/1/2022
COLUMBUS,OH,9.2,1/1/2022
DAYTON,OH,11.1,1/1/2022
MANSFIELD,OH,11.7,1/1/2022
TOLEDO,OH,10.4,1/1/2022
YOUNGSTOWN,OH,10.2,1/1/2022
OKLAHOMA CITY,OK,11.6,1/1/2022
TULSA,OK,9.4,1/1/2022
ASTORIA,OR,8.4,1/1/2022
BURNS,OR,4.8,1/1/2022
EUGENE,OR,6.9,1/1/2022
MEDFORD,OR,3.1,1/1/2022
PENDLETON,OR,6.9,1/1/2022
PORTLAND,OR,9.2,1/1/2022
SALEM,OR,6.9,1/1/2022
SEXTON SUMMIT,OR,11.1,1/1/2022
ALLENTOWN,PA,8.2,1/1/2022
ERIE,PA,12,1/1/2022
PHILADELPHIA,PA,9.9,1/1/2022
PITTSBURGH,PA,9.2,1/1/2022
AVOCA,PA,7.7,1/1/2022
WILLIAMSPORT,PA,7.6,1/1/2022
PROVIDENCE,RI,9.7,1/1/2022
CHARLESTON,SC,8.2,1/1/2022
COLUMBIA,SC,6.6,1/1/2022
ABERDEEN,SD,10.5,1/1/2022
HURON,SD,10.5,1/1/2022
RAPID CITY,SD,10.3,1/1/2022
SIOUX FALLS,SD,10.3,1/1/2022
CHATTANOOGA,TN,5.8,1/1/2022
KNOXVILLE,TN,6.7,1/1/2022
MEMPHIS,TN,8.9,1/1/2022
NASHVILLE,TN,8,1/1/2022
ABILENE,TX,10.7,1/1/2022
AMARILLO,TX,12.1,1/1/2022
AUSTIN,TX,6.7,1/1/2022
BROWNSVILLE,TX,10,1/1/2022
CORPUS CHRISTI,TX,11.8,1/1/2022
DALLAS,TX,8.9,1/1/2022
DEL RIO,TX,7.3,1/1/2022
EL PASO,TX,7.4,1/1/2022
GALVESTON,TX,11.5,1/1/2022
HOUSTON,TX,7.9,1/1/2022
LUBBOCK,TX,11.7,1/1/2022
PORT ARTHUR,TX,9.5,1/1/2022
SAN ANGELO,TX,9.6,1/1/2022
